ID,vote,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type
0,No,Rural,Yes,7,40,Male,Head of Household,Married/Living together,No formal education,Informally employed
1,No,Rural,Yes,3,24,Male,Child,Single/Never Married,Secondary education,Farming and Fishing
2,No,Urban,Yes,3,25,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
3,No,Urban,Yes,1,35,Female,Head of Household,Married/Living together,Primary education,Self employed
4,No,Rural,Yes,3,60,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
5,No,Rural,Yes,5,28,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
6,No,Urban,Yes,4,40,Female,Head of Household,Divorced/Seperated,Secondary education,Formally employed Government
7,No,Rural,Yes,2,50,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
8,Yes,Urban,Yes,9,35,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
9,Yes,Rural,Yes,4,34,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
10,No,Rural,No,6,39,Female,Spouse,Married/Living together,Primary education,Self employed
11,No,Rural,Yes,5,40,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
12,No,Urban,No,2,65,Female,Head of Household,Widowed,Primary education,Self employed
13,No,Rural,Yes,2,24,Female,Spouse,Single/Never Married,Secondary education,Remittance Dependent
14,No,Rural,Yes,4,35,Male,Child,Dont know,No formal education,Farming and Fishing
15,No,Urban,Yes,3,37,Female,Spouse,Single/Never Married,Primary education,Self employed
16,No,Rural,Yes,1,24,Male,Head of Household,Single/Never Married,Primary education,Informally employed
17,No,Rural,Yes,2,31,Male,Head of Household,Single/Never Married,Tertiary education,Self employed
18,No,Rural,Yes,4,29,Male,Head of Household,Married/Living together,Primary education,Informally employed
19,No,Rural,Yes,4,25,Female,Spouse,Married/Living together,Primary education,Informally employed
20,No,Urban,Yes,2,24,Female,Spouse,Single/Never Married,Primary education,Self employed
21,No,Urban,No,2,20,Female,Spouse,Single/Never Married,No formal education,Self employed
22,No,Urban,Yes,2,24,Male,Head of Household,Single/Never Married,Secondary education,Self employed
23,Yes,Urban,Yes,5,42,Male,Head of Household,Married/Living together,Secondary education,Informally employed
24,No,Rural,No,2,65,Female,Head of Household,Widowed,No formal education,Other Income
25,No,Urban,Yes,6,25,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
26,No,Urban,No,1,80,Female,Head of Household,Widowed,No formal education,Other Income
27,No,Urban,Yes,8,29,Female,Head of Household,Single/Never Married,Secondary education,Self employed
28,Yes,Rural,Yes,9,54,Male,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Government
29,Yes,Rural,Yes,3,42,Male,Head of Household,Married/Living together,No formal education,Formally employed Private
30,No,Rural,No,2,60,Male,Head of Household,Single/Never Married,Primary education,Informally employed
31,No,Rural,Yes,4,41,Female,Spouse,Married/Living together,Primary education,Self employed
32,No,Rural,Yes,7,36,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
33,No,Urban,No,1,25,Female,Head of Household,Single/Never Married,Primary education,Self employed
34,No,Rural,Yes,4,36,Male,Head of Household,Married/Living together,Secondary education,Informally employed
35,No,Urban,Yes,8,40,Female,Spouse,Married/Living together,No formal education,Self employed
36,No,Urban,No,2,26,Female,Spouse,Single/Never Married,Primary education,Self employed
37,No,Rural,No,6,37,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
